Q91_1,Q91_2,Q92_1,Q92_2,Q93_1,Q93_2,Q94_1,Q94_2,Q95_1,Q95_2,Q96_1,Q96_2,Q97_1,Q97_2,Q98_1,Q98_2,Q99_1,Q99_2,Q100_1,Q100_2
Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests truthfulness,Highlight the words that contributed most to your assessment of this claim as truthful or untruthful. - Suggests untruthfulness
"{""ImportId"":""QID107_1""}","{""ImportId"":""QID107_2""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID109_2""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID110_2""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID111_2""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID112_2""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID113_2""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID114_2""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID115_2""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID116_2""}"
,,,,,,,,,"45: Donald,46: Trump","7: Republican,8: senators",,,,,"1: ""Donald,2: Trump,3: Protester",,,,
,,,,,5: challenge,,"21: enough,",,,,,,"20: approximately,23: 16,24: years.""",,,,,,
"22: George,23: Bush",,,,,,,,,,,,,"6: whatsoever,",,,,,15: economy,
,"8: Democratic,15: wouldn't",,,,,,,,"20: deficit,24: unbelievably,25: big.",,,,,,,,,"2: national,3: debt","9: exceed,11: size,14: entire,15: economy"
"19: put,20: up,22: George,23: Bush,27: 7,28: years.""",,,"6: stole,14: switch",,,,,,,"11: blocked,19: receive,21: $2,800,22: cost-of-living,23: adjustment",,,,,,,,,
,,,,,,,,"4: Mexico,24: unbelievably,30: billions,32: dollars,39: talking,45: Donald,46: Trump,57: Norwalk,",,,,,,"1: ""Donald,2: Trump,5: Out:,12: Trump's,24: post,27: Internet",,"6: incarcerated,12: John,13: Legend,21: speech,24: Oscars",,,
"1: ""If,2: West,3: Virginia,4: had,5: voted,6: for,7: our,8: Democratic",,,,,,,,,,,"29: Facebook,30: posts,31: on,32: Thursday,,33: May,34: 1st,,35: 2014,36: in,37: a,38: meme,39: shared,40: on,41: social,42: media",,,,,,6: incarcerated,,
,,,,,,"4: solar,5: energy,11: Southwestern,12: desert,33: electricity,37: United,38: States,39: of,40: America",,,,,,,"6: whatsoever,,20: approximately",,,,,"9: exceed,11: size,14: entire,15: economy",
,,,,,,,,,,"22: cost-of-living,25: January,26: 1,,27: 2015.""",,,,,"8: Paid,9: $3,500,16: Bloggers,24: post,27: Internet",,,"2: national,3: debt,9: exceed,11: size,19: two,21: years.""",
"19: put,22: George",,"20: Michele,32: debate",,,,"25: itself,,33: electricity,49: Wednesday,",,,,,,,,,,,,,
"2: West,3: Virginia,4: had,5: voted,6: for,7: our,8: Democratic,9: nominee,10: in,11: 2000,12: and,13: 2004,","14: we,15: wouldn't,16: have,17: had,18: to,19: put,20: up,21: with,22: George,23: Bush,24: for,25: the,26: last,27: 7,28: years.""",,"4: President,5: Obama,6: stole,7: over,8: $500,9: billion,10: out,11: of,12: Medicare",,,,,,,,,,"1: ""If,2: they,3: made,4: no,5: changes,6: whatsoever,,20: approximately",,,,,,
,,"1: ""We,2: know",6: stole,,,,,"10: I,11: say,12: of,13: course,14: they,15: can.",,"1: ""Every,2: single,3: one",,,,,,,,,
,,,,,5: challenge,,,,"19: trade,20: deficit,24: unbelievably,28: billions,30: billions,32: dollars",,,,,,,"6: incarcerated,7: country",,,
,,,6: stole,,,,,,,,"38: meme,39: shared,40: on,41: social,42: media",,,,,,,,"6: on,7: track,8: to,9: exceed"
,,,6: stole,,,,"28: 100,29: percent,30: of,31: all,32: the,33: electricity,34: needs",,,,11: blocked,,,,,,,,
"2: West,3: Virginia,22: George,23: Bush",,12: Medicare,"6: stole,18: Obamacare."",20: Michele,21: Bachmann,30: Party,31: Express",,,,,,,,,"23: 16,24: years.""",,,,,,,
,,,,,,,,,,,"38: meme,39: shared,40: on,41: social,42: media",,,,,"1: ""We,2: live,3: in,4: the,5: most,6: incarcerated,7: country,8: in,9: the,10: world.""",,,"14: entire,15: economy,19: two,20: more,21: years."""
,"8: Democratic,9: nominee,11: 2000,13: 2004,",,,,,,,"19: trade,20: deficit",,,,,,,,"5: most,6: incarcerated,7: country,10: world.""",,,
,,,,,"10: suspend,14: 37,15: public,19: 36,20: months.""",,"13: 100,47: Gore",,,,11: blocked,,,,,,,,
,,,,"7: this,8: administration,9: to,10: suspend,14: 37,15: public,16: officials",,,,,,,,,,,"8: Paid,9: $3,500,10: To,11: Protest,12: Trump's,13: Rally.'","5: most,6: incarcerated,7: country",,,
"2: West,3: Virginia,11: 2000,13: 2004,","1: ""If,19: put,20: up,21: with,29: — Hillary,30: Clinton on",,,"14: 37,19: 36,20: months."",30: Associated,31: Press',32: annual,33: legislative,34: meeting",,"46: Al,47: Gore,55: Senate,56: committee,57: hearing","21: enough,,28: 100,29: percent,31: all",,,,,,,,,,,,
,,,,,,,,,,,,30: November,,,4: Speaks,,,,
,,"24: September,25: 12th,,26: 2011","6: stole,8: $500","5: challenge,8: administration,10: suspend,26: January,27: 27th,,28: 2010,30: Associated,31: Press'","12: less,18: about",,,,,,"1: ""Every,21: $2,800,22: cost-of-living,29: Facebook",,,,,,,,
,,"4: President,5: Obama,6: stole",,"5: challenge,8: administration,10: suspend,33: legislative,34: meeting",,,,,,"7: Republican,8: senators,13: raise,22: cost-of-living,23: adjustment,29: Facebook,30: posts,39: shared,41: social,42: media",,,,,,,,,
,,,,,,"46: Al,47: Gore",,,"28: billions,30: billions,45: Donald,46: Trump",,,,,,"6: 'I,7: Was,8: Paid,9: $3,500,10: To,11: Protest,12: Trump's,13: Rally.',16: Bloggers",,,,
,,,,,5: challenge,,,,"34: far,35: more,36: than,37: what,38: we're,39: talking,40: about,41: for,42: the,43: wall."",45: Donald,46: Trump",,,"10: pension],23: 16,24: years.""",,,,,,,
,"2: West,3: Virginia",,,,"10: suspend,14: 37,15: public,16: officials",,"28: 100,29: percent",,,,,,,,,,,,
,,,,"14: 37,15: public,16: officials",,,"28: 100,29: percent,30: of,31: all,32: the,33: electricity,34: needs",,,,,,,,"4: Speaks,5: Out:",,,,
"1: ""If,2: West,3: Virginia,4: had,5: voted,6: for,7: our,8: Democratic,9: nominee,10: in,11: 2000,12: and,13: 2004,,14: we,15: wouldn't,16: have,17: had,18: to,19: put,20: up,21: with,22: George,23: Bush,24: for,25: the,26: last,27: 7,28: years.""",,,,,,,,,"45: Donald,46: Trump",,,,,,,"1: ""We,2: live,3: in,4: the,5: most,6: incarcerated,7: country,8: in,9: the,10: world.""",,,
,,,,,,,"28: 100,29: percent",,,,,,,,"4: Speaks,5: Out:,24: post,25: on,26: the,27: Internet",,,,"17: in,18: just,19: two,20: more,21: years."""
,15: wouldn't,,,,,,,,,,,,,,,,6: incarcerated,"6: on,7: track",
,,,,,,,"28: 100,29: percent,33: electricity,34: needs,37: United,38: States,40: America",,,,,,,,"9: $3,500,10: To,11: Protest,16: Bloggers",,,"2: national,3: debt,9: exceed,11: size",
,,,"1: ""We,2: know,3: that,4: President,5: Obama,6: stole,7: over,8: $500,9: billion,10: out,11: of,12: Medicare,13: to,14: switch,15: it,16: over,17: to,18: Obamacare.""",,,,,,,,,,"12: still,13: had,14: enough,15: money,16: to,17: go,18: forward,19: for,20: approximately",,"7: Was,8: Paid,9: $3,500,10: To,11: Protest",,,,
,,,,,,,,"19: trade,20: deficit,21: with,22: Mexico,23: that's,24: unbelievably,25: big.,34: far,35: more,36: than,37: what,38: we're,39: talking",,,,,,,"9: $3,500,16: Bloggers",5: most,"10: world.""",,
,,,,,,"55: Senate,56: committee,57: hearing",,,,,29: Facebook,,,,,,,,"14: entire,15: economy"
30: Clinton on,,,,,,,,,,,,,,2: Trump,,,,2: national,
,,,,,,,,,,,,20: approximately,,,"9: $3,500",,5: most,,
,,,,,,,,"45: Donald,46: Trump",,,,,,,,6: incarcerated,,"7: track,9: exceed,11: size,15: economy",14: entire
,,,6: stole,,,,,,"45: Donald,46: Trump",,,,,,,,,,
,,,,,18: about,,,,5: can't,,,,,,,"6: incarcerated,13: Legend",,,
,,,,,,,,,,,,,"1: ""If,2: they,3: made,4: no,5: changes,14: enough,15: money,19: for,20: approximately,21: the,22: next,23: 16,24: years.""",,"8: Paid,9: $3,500,10: To,11: Protest",,,,32: op-ed
,"29: — Hillary,30: Clinton on",,,,,"45: —,46: Al,47: Gore",,,,,"28: —,29: Facebook,30: posts",,,,,,,,
,,,,"11: no,12: less,13: than","5: challenge,18: about","7: ""an,8: area,9: of,10: the,11: Southwestern,12: desert,18: that,19: would,20: be,21: enough,,46: Al,47: Gore",,,,,,,,,,"5: most,6: incarcerated,7: country",,,
,,,,,"10: suspend,14: 37,15: public,16: officials,19: 36,20: months.""",,,,,,,"9: employees,10: pension]",,,,,,"2: national,3: debt,14: entire,15: economy,19: two,20: more",
29: — Hillary,,,,,,45: —,,,,,,,,,,,11: —,,
,,,,"1: ""I,2: have,3: had,4: the,6: during,7: this,8: administration,9: to,10: suspend,11: no,12: less,13: than,14: 37,15: public,16: officials,17: in,19: 36,20: months.""","5: challenge,18: about",,,"1: ""When,2: they,3: say,4: Mexico,5: can't,6: pay,7: for,8: the,9: wall,,16: We,17: have,18: a,19: trade,20: deficit,21: with,22: Mexico","10: I,11: say,12: of,13: course,14: they,15: can.,23: that's,24: unbelievably,25: big.,27: It's,28: billions,29: and,30: billions,31: of,32: dollars",,,"1: ""If,2: they,3: made,4: no,5: changes,6: whatsoever,,7: the,8: [state,9: employees,10: pension],11: plan,12: still,13: had,14: enough,15: money,16: to,17: go,18: forward,19: for,20: approximately,21: the,22: next,23: 16,24: years.""",,,,,,,
,,,,,,,"14: miles,15: on,16: a,17: side,","16: We,17: have,18: a,19: trade,20: deficit,21: with,22: Mexico,23: that's,24: unbelievably,25: big.",,,,,,,,,"6: incarcerated,7: country",,
,,,,"5: challenge,11: no,12: less,13: than,22: Charlie,23: Crist",,,,,,,"1: ""Every,2: single,3: one,7: Republican",,,"1: ""Donald,2: Trump,3: Protester,4: Speaks,5: Out:,6: 'I,7: Was,8: Paid,9: $3,500,10: To,11: Protest,12: Trump's,13: Rally.',19: November,20: 11th,,21: 2016",,,,,
,,,,,"10: suspend,11: no,12: less",,,,,,,,,,"9: $3,500",,"12: John,13: Legend",,
,,,,,,"55: Senate,56: committee,57: hearing",,,,,"21: $2,800",,,,,,,"1: ""Our,2: national,3: debt,19: two,20: more,21: years.""",15: economy
,,"18: Obamacare.""",14: switch,,,"11: Southwestern,12: desert","31: all,33: electricity",,,,,,"14: enough,23: 16,24: years.""",,,,,,
,,"5: Obama,6: stole,20: Michele,21: Bachmann",,,,,,,,,,,"14: enough,15: money,23: 16,24: years.""",,,,,"23: John,24: Boehner","19: two,20: more,21: years."""
,,,,,,,,,,"21: $2,800,22: cost-of-living,23: adjustment,24: on,25: January,26: 1,,27: 2015.""",,,,,16: Bloggers,"5: most,6: incarcerated,7: country,8: in,9: the,10: world.""","12: John,13: Legend",,
,,,6: stole,"5: challenge,30: Associated,31: Press',34: meeting",,,,,,,,20: approximately,,,,,,,
,,,"6: stole,9: billion,14: switch",,"5: challenge,10: suspend,14: 37,19: 36",,,,,,,,"6: whatsoever,,20: approximately",,,,,,
,,,,,,,,,,,"29: Facebook,38: meme",,,,,,"12: John,13: Legend,21: speech,22: at,23: the,24: Oscars",,"23: John,24: Boehner"
,,,,"11: no,12: less,13: than",18: about,,,,,,,,20: approximately,,"16: Bloggers,27: Internet",,,,
,,,6: stole,,,,"46: Al,47: Gore",,,,,,,,,,,,"9: exceed,19: two,20: more,21: years."""
,,,"6: stole,14: switch",,,,,20: deficit,28: billions,,,,,"6: 'I,7: Was,8: Paid",,,,,
,,,,,,,"28: 100,55: Senate,56: committee","45: Donald,46: Trump",,,,,,,,,,"2: national,37: Register",
,,,14: switch,,,,,,,,,"8: [state,9: employees,10: pension]",,,,"12: John,13: Legend",,,
,,,"2: know,6: stole,14: switch",,,,,,,,"29: Facebook,38: meme","6: whatsoever,,20: approximately,39: Conference",,,,,,,
,"4: had,5: voted,6: for,7: our,8: Democratic,9: nominee,15: wouldn't,16: have,17: had,18: to,19: put,20: up,21: with,22: George,23: Bush",,,,,,"28: 100,29: percent,30: of,31: all,32: the,33: electricity,34: needs",,"10: I,11: say,12: of,13: course,14: they,15: can.,19: trade,20: deficit,28: billions,29: and,30: billions,31: of,32: dollars,34: far,35: more,36: than,37: what,38: we're,39: talking",,,,,,,,,,
,,,,,,,,"19: trade,20: deficit","28: billions,30: billions",,,,"8: [state,9: employees,10: pension],20: approximately",,,,,"3: debt,15: economy","7: track,9: exceed,35: Des,36: Moines,37: Register"
,"14: we,15: wouldn't,16: have,17: had,18: to,19: put,20: up,21: with,22: George,23: Bush,24: for,25: the,26: last,27: 7,28: years."",29: — Hillary,30: Clinton on",,"8: $500,9: billion",,,,,,,,,,"17: go,18: forward,19: for,20: approximately,21: the,22: next,23: 16,24: years.""",,,,,,
,,,"6: stole,7: over,8: $500,9: billion,10: out",,"5: challenge,6: during,7: this,8: administration",,,,,,,,,,,,,,"6: on,7: track,8: to,9: exceed,10: the,11: size,12: of,13: our,14: entire,15: economy,16: ...,17: in,18: just,19: two,20: more,21: years."""
,,,,,,,"46: Al,47: Gore",,"45: Donald,46: Trump",,,,,,,,,,"5: is,6: on,7: track,17: in,18: just,19: two,20: more,21: years."""
,,,,,,,,,26: ...,,,,,,"16: Bloggers,24: post,27: Internet",,"5: most,6: incarcerated,7: country,8: in,9: the,10: world.""",,
"5: voted,6: for,7: our,8: Democratic,9: nominee,11: 2000,13: 2004,",,,"6: stole,7: over,8: $500,9: billion,18: Obamacare.""",,,,,,,,"29: Facebook,38: meme",,,,,,,,
,,,,"3: had,4: the,5: challenge,10: suspend,11: no,12: less,13: than,14: 37,15: public,16: officials,17: in,18: about,19: 36,20: months."",30: Associated,31: Press',32: annual,33: legislative,34: meeting",,,,"45: Donald,46: Trump","17: have,18: a,19: trade,20: deficit,21: with,22: Mexico,23: that's,24: unbelievably,25: big.,27: It's,28: billions,29: and,30: billions,31: of,32: dollars,34: far,35: more,36: than,37: what,38: we're,39: talking,40: about,41: for,42: the,43: wall.""",,,"4: no,5: changes,6: whatsoever,,12: still,13: had,14: enough,15: money,16: to,17: go,18: forward,19: for,20: approximately,21: the,22: next,23: 16,24: years.""",,,,,,,
"2: West,3: Virginia,4: had,5: voted,8: Democratic,11: 2000,13: 2004,,37: W.,38: Va.",,,,,,"4: solar,11: Southwestern,12: desert,13: 100,14: miles",,,,,,"20: approximately,21: the,22: next,23: 16,24: years.""",,,,,,,
,"8: Democratic,29: — Hillary,30: Clinton on",,,,"11: no,15: public,19: 36,20: months.""",,,,,,,,"6: whatsoever,,37: 10,38: News,39: Conference",,,,,,
,,"8: $500,9: billion","6: stole,18: Obamacare."",20: Michele,21: Bachmann,29: CNN/Tea,30: Party,31: Express,32: debate",,,,,,,"7: Republican,11: blocked,12: a,13: raise,14: in,15: the,16: minimum,17: wage,21: $2,800,22: cost-of-living,23: adjustment","29: Facebook,38: meme",,,,,,,"1: ""Our,21: years."",35: Des,36: Moines,37: Register","4: ...,16: ...,23: John,24: Boehner,32: op-ed"
,,,,"10: suspend,14: 37,15: public,16: officials,30: Associated,31: Press'","6: during,7: this,8: administration",,,,,"7: Republican,8: senators,9: who,10: just,11: blocked,12: a,13: raise,14: in,15: the,16: minimum,17: wage,22: cost-of-living,23: adjustment",,,,,,,,,"1: ""Our,2: national,3: debt,9: exceed,10: the,11: size,12: of,13: our,14: entire,15: economy"
,"15: wouldn't,16: have,17: had,18: to,19: put,20: up,21: with",,,,,,,,,,"1: ""Every,2: single,3: one,11: blocked",,,,,"5: most,6: incarcerated",,,
